DMUs,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
112102,2017,0.24,0.34,0.18,0.21,0.19,0.0
109102,2017,0.12,0.08,0.05,0.01,0.0,0.0
133150,2017,0.18,0.1,0.15,0.11,0.13,0.05
109103,2017,0.12,0.13,0.06,0.07,0.06,0.0
124105,2017,0.57,0.6,0.49,0.38,0.39,0.0
109101,2017,0.27,0.18,0.19,0.12,0.17,0.0
105100,2017,0.27,0.32,0.29,0.24,0.35,0.0
104100,2017,0.25,0.24,0.24,0.15,0.18,0.0
110120,2017,0.37,0.44,0.36,0.29,0.38,0.0
106102,2017,0.1,0.07,0.12,0.14,0.08,0.0
107102,2017,0.15,0.1,0.15,0.08,0.14,0.04
106100,2017,0.48,0.47,0.53,0.3,0.32,0.0
107100,2017,0.5,0.66,0.41,0.41,0.34,0.0
125100,2017,0.29,0.2,0.19,0.17,0.11,0.0
107101,2017,0.17,0.18,0.22,0.23,0.2,0.0
108101,2017,0.12,0.1,0.2,0.11,0.23,0.0
105101,2017,0.28,0.3,0.29,0.19,0.32,0.0
129106,2017,0.13,0.09,0.16,0.1,0.1,0.03
108100,2017,0.15,0.12,0.24,0.13,0.22,0.0
105102,2017,0.16,0.14,0.19,0.17,0.21,0.0
129100,2017,0.12,0.07,0.16,0.09,0.09,0.11
112100,2017,0.37,0.77,0.21,0.4,0.37,0.0
109100,2017,0.54,0.51,0.56,0.91,0.84,0.0
121109,2017,0.64,0.88,0.68,0.68,0.49,0.09
112104,2017,0.11,0.14,0.08,0.06,0.08,0.0
112103,2017,0.11,0.26,0.11,0.11,0.04,0.0
110100,2017,0.54,0.67,0.5,0.84,0.43,0.0
113130,2018,0.2,0.16,0.15,0.09,0.15,0.0
115107,2018,0.13,0.16,0.2,0.13,0.17,0.0
112103,2018,0.11,0.29,0.12,0.12,0.05,0.0
107102,2018,0.16,0.12,0.16,0.09,0.14,0.02
126100,2018,0.36,0.34,0.24,0.18,0.19,0.0
115100,2018,0.55,0.57,0.44,0.45,0.5,0.1
110150,2018,0.13,0.08,0.15,0.13,0.13,0.01
106102,2018,0.11,0.08,0.12,0.17,0.08,0.0
129100,2018,0.13,0.08,0.16,0.09,0.12,0.08
106103,2018,0.11,0.1,0.18,0.17,0.1,0.0
119100,2018,0.45,0.54,0.46,0.45,0.41,0.0
110120,2018,0.37,0.44,0.37,0.31,0.34,0.0
121109,2018,0.65,0.91,0.69,0.77,0.54,0.1
109101,2018,0.28,0.16,0.2,0.12,0.15,0.0
113180,2018,0.26,0.19,0.33,0.28,0.25,0.0
109100,2018,0.56,0.51,0.58,0.96,1.0,0.0
103100,2018,0.53,0.65,0.4,0.32,0.31,0.0
133150,2018,0.19,0.1,0.15,0.12,0.15,0.03
105100,2018,0.29,0.37,0.27,0.19,0.34,0.0
106100,2018,0.5,0.51,0.41,0.29,0.34,0.0
107100,2018,0.52,0.64,0.42,0.36,0.36,0.0
114101,2018,0.96,0.94,0.86,0.69,0.75,0.19
105102,2018,0.18,0.15,0.19,0.19,0.23,0.0
117101,2018,0.45,0.4,0.41,0.36,0.47,0.0
129106,2018,0.14,0.1,0.16,0.12,0.12,0.04
105101,2018,0.3,0.4,0.29,0.2,0.33,0.0
110100,2018,0.55,0.7,0.51,0.89,0.44,0.0
108100,2018,0.15,0.12,0.26,0.15,0.24,0.0
117102,2018,0.12,0.09,0.16,0.1,0.17,0.23
111195,2018,0.39,0.36,0.17,0.22,0.19,0.08
116100,2018,0.23,0.31,0.32,0.46,0.35,0.0
116108,2018,0.19,0.16,0.29,0.21,0.27,0.0
125100,2018,0.29,0.21,0.2,0.21,0.11,0.0
102100,2018,0.44,0.3,0.4,0.23,0.33,0.0
124105,2018,0.61,0.66,0.49,0.4,0.44,0.97
107101,2018,0.18,0.18,0.22,0.24,0.23,0.0
116105,2018,0.6,0.53,0.57,0.69,0.47,0.0
118106,2018,0.09,0.05,0.1,0.14,0.07,0.21
101100,2018,0.29,0.32,0.36,0.29,0.32,0.05
122100,2018,0.42,0.59,0.45,0.46,0.38,0.04
108101,2018,0.12,0.1,0.2,0.11,0.24,0.0
109103,2018,0.12,0.12,0.06,0.07,0.06,0.0
112105,2018,0.01,0.01,0.08,0.0,0.0,0.0
119101,2018,0.07,0.04,0.09,0.11,0.07,0.07
120101,2018,0.02,0.01,0.57,0.58,0.46,0.08
112102,2018,0.25,0.33,0.19,0.2,0.19,0.0
111100,2018,0.61,0.85,0.59,0.63,0.37,0.1
112106,2018,0.02,0.01,0.02,0.0,0.0,0.0
112101,2018,0.22,0.16,0.34,0.01,0.19,0.0
104100,2018,0.26,0.24,0.25,0.17,0.2,0.0
103101,2018,0.17,0.13,0.18,0.13,0.07,0.0
114105,2018,0.44,0.57,0.35,0.2,0.29,0.04
110110,2018,0.06,0.12,0.08,0.05,0.16,0.0
123100,2018,0.39,0.35,0.34,0.37,0.38,0.0
109102,2018,0.12,0.07,0.06,0.02,0.0,0.0
112104,2018,0.11,0.14,0.09,0.06,0.08,0.0
111101,2018,0.48,0.43,0.37,0.48,0.26,0.07
112100,2018,0.39,0.79,0.23,0.44,0.39,0.0
118100,2018,0.88,1.0,0.7,0.83,0.63,0.75
114103,2018,0.39,0.37,0.44,0.49,0.26,0.02
118105,2018,0.1,0.05,0.15,0.15,0.12,0.3
113100,2018,0.66,0.69,0.66,0.87,0.57,0.08
116100,2019,0.23,0.31,0.33,0.49,0.36,0.03
105101,2019,0.31,0.34,0.29,0.21,0.32,0.0
111100,2019,0.6,0.78,0.57,0.62,0.4,0.09
102100,2019,0.44,0.26,0.4,0.24,0.38,1.0
110100,2019,0.54,0.76,0.51,1.0,0.51,0.0
112102,2019,0.24,0.32,0.18,0.21,0.17,0.0
101100,2019,0.3,0.26,0.36,0.3,0.3,0.06
113130,2019,0.21,0.16,0.16,0.1,0.1,0.02
107101,2019,0.18,0.16,0.21,0.25,0.23,0.0
105102,2019,0.2,0.15,0.19,0.22,0.25,0.0
116105,2019,0.59,0.51,0.58,0.74,0.5,0.0
112101,2019,0.21,0.17,0.34,0.02,0.19,0.0
104100,2019,0.26,0.22,0.26,0.18,0.23,0.0
108101,2019,0.12,0.11,0.2,0.12,0.24,0.0
119101,2019,0.07,0.04,0.09,0.12,0.08,0.05
117101,2019,0.44,0.39,0.42,0.44,0.47,0.01
116108,2019,0.19,0.15,0.3,0.25,0.25,0.0
118105,2019,0.11,0.04,0.15,0.16,0.11,0.27
126100,2019,0.35,0.31,0.26,0.19,0.2,0.0
107100,2019,0.52,0.64,0.43,0.42,0.37,0.0
125100,2019,0.29,0.19,0.2,0.2,0.11,0.0
129106,2019,0.14,0.09,0.16,0.12,0.11,0.06
110110,2019,0.06,0.14,0.09,0.05,0.18,0.0
108100,2019,0.16,0.11,0.24,0.16,0.25,0.0
113100,2019,0.64,0.76,0.67,0.93,0.6,0.1
117102,2019,0.11,0.09,0.16,0.19,0.17,0.23
112106,2019,0.02,0.01,0.02,0.0,0.0,0.0
111195,2019,0.38,0.31,0.18,0.24,0.18,0.09
118106,2019,0.08,0.04,0.11,0.13,0.07,0.17
106100,2019,0.47,0.42,0.41,0.32,0.33,0.0
112100,2019,0.38,0.91,0.27,0.51,0.44,0.0
112105,2019,0.01,0.01,0.07,0.0,0.0,0.0
106103,2019,0.11,0.1,0.17,0.14,0.1,0.0
118100,2019,0.88,0.89,0.71,0.92,0.59,0.91
110120,2019,0.38,0.4,0.36,0.34,0.33,0.2
124105,2019,0.61,0.64,0.5,0.45,0.45,0.82
112104,2019,0.1,0.13,0.09,0.06,0.08,0.0
109101,2019,0.27,0.18,0.2,0.15,0.15,0.0
113180,2019,0.26,0.18,0.32,0.31,0.25,0.0
133150,2019,0.19,0.1,0.16,0.14,0.16,0.03
103101,2019,0.2,0.14,0.21,0.16,0.11,0.0
114103,2019,0.37,0.33,0.41,0.49,0.25,0.01
109100,2019,0.56,0.45,0.56,0.94,0.95,0.0
114101,2019,0.92,0.91,0.85,0.72,0.79,0.0
103100,2019,0.55,0.58,0.44,0.42,0.3,0.0
112103,2019,0.11,0.28,0.12,0.12,0.04,0.0
114105,2019,0.44,0.56,0.35,0.2,0.28,0.04
106102,2019,0.11,0.07,0.12,0.19,0.09,0.0
122100,2019,0.41,0.55,0.44,0.47,0.38,0.06
109103,2019,0.13,0.14,0.06,0.07,0.06,0.0
111101,2019,0.45,0.44,0.37,0.52,0.28,0.07
109102,2019,0.11,0.07,0.05,0.02,0.0,0.0
105100,2019,0.29,0.33,0.28,0.24,0.36,0.0
129100,2019,0.13,0.07,0.17,0.11,0.13,0.09
120101,2019,0.02,0.01,0.58,0.62,0.47,0.05
115107,2019,0.12,0.15,0.19,0.15,0.17,0.0
115100,2019,0.55,0.53,0.48,0.48,0.54,0.11
121109,2019,0.65,0.89,0.67,0.22,0.51,0.11
110150,2019,0.12,0.08,0.15,0.13,0.13,0.01
119100,2019,0.44,0.51,0.45,0.52,0.46,0.0
107102,2019,0.15,0.1,0.16,0.11,0.15,0.02
123100,2019,0.38,0.32,0.35,0.43,0.37,0.0
120101,2020,0.02,0.01,0.43,0.0,0.0,0.05
101100,2020,0.31,0.3,0.3,0.0,0.0,0.05
118106,2020,0.09,0.04,0.06,0.0,0.0,0.06
119101,2020,0.09,0.04,0.06,0.0,0.0,0.01
129100,2020,0.17,0.11,0.12,0.0,0.0,0.14
118100,2020,0.91,0.88,0.49,0.0,0.0,0.23
121109,2020,0.69,0.87,0.47,0.0,0.0,0.1
118105,2020,0.11,0.05,0.11,0.0,0.0,0.14
119100,2020,0.48,0.5,0.35,0.0,0.0,0.0
126100,2020,0.38,0.34,0.17,0.0,0.0,0.0
117102,2020,0.13,0.09,0.13,0.0,0.0,0.05
112103,2020,0.12,0.29,0.06,0.0,0.0,0.0
112104,2020,0.1,0.13,0.05,0.0,0.0,0.0
124105,2020,0.66,0.68,0.43,0.0,0.0,0.1
112100,2020,0.42,0.98,0.22,0.0,0.0,0.0
110110,2020,0.06,0.11,0.07,0.0,0.0,0.0
112106,2020,0.02,0.01,0.02,0.0,0.0,0.0
104100,2020,0.26,0.25,0.23,0.0,0.0,0.0
112102,2020,0.26,0.32,0.11,0.0,0.0,0.0
109102,2020,0.11,0.08,0.04,0.0,0.0,0.0
109103,2020,0.13,0.14,0.05,0.0,0.0,0.0
109100,2020,0.57,0.65,0.48,0.0,0.0,0.0
110100,2020,0.57,0.76,0.37,0.0,0.0,0.0
109101,2020,0.27,0.18,0.11,0.0,0.0,0.0
110120,2020,0.5,0.38,0.33,0.0,0.0,0.0
106102,2020,0.11,0.11,0.08,0.0,0.0,0.0
105100,2020,0.34,0.34,0.23,0.0,0.0,0.0
107102,2020,0.16,0.13,0.13,0.0,0.0,0.02
106100,2020,0.48,0.42,0.28,0.0,0.0,0.0
107100,2020,0.55,0.75,0.36,0.0,0.0,0.0
107101,2020,0.19,0.22,0.17,0.0,0.0,0.0
108101,2020,0.14,0.11,0.15,0.0,0.0,0.0
108100,2020,0.17,0.12,0.18,0.0,0.0,0.0
125100,2020,0.29,0.21,0.15,0.0,0.0,0.0
105102,2020,0.26,0.21,0.15,0.0,0.0,0.0
133150,2020,0.18,0.1,0.13,0.0,0.0,0.03
117101,2020,0.48,0.4,0.35,0.0,0.0,0.06
129106,2020,0.15,0.1,0.11,0.0,0.0,0.05
103101,2020,0.24,0.17,0.2,0.0,0.0,0.0
116108,2020,0.2,0.17,0.22,0.0,0.0,0.0
116105,2020,0.6,0.56,0.49,0.0,0.0,0.0
116100,2020,0.24,0.31,0.26,0.0,0.0,0.0
102100,2020,0.44,0.3,0.34,0.0,0.0,0.04
115107,2020,0.14,0.18,0.13,0.0,0.0,0.0
122100,2020,0.43,0.52,0.33,0.0,0.0,0.08
115100,2020,0.57,0.53,0.42,0.0,0.0,0.14
110150,2020,0.13,0.09,0.13,0.0,0.0,0.04
106103,2020,0.11,0.1,0.12,0.0,0.0,0.0
113180,2020,0.28,0.25,0.26,0.0,0.0,0.0
111195,2020,0.47,0.35,0.19,0.0,0.0,0.08
114103,2020,0.39,0.37,0.31,0.0,0.0,0.04
114101,2020,0.98,0.99,0.7,0.0,0.0,0.0
114105,2020,0.48,0.68,0.29,0.0,0.0,0.04
111101,2020,0.54,0.49,0.32,0.0,0.0,0.09
123100,2020,0.4,0.39,0.3,0.0,0.0,0.0
112101,2020,0.22,0.23,0.3,0.0,0.0,0.0
113100,2020,0.68,0.8,0.58,0.0,0.0,0.14
105101,2020,0.36,0.34,0.25,0.0,0.0,0.0
113130,2020,0.21,0.15,0.1,0.0,0.0,0.04
111100,2020,0.62,0.67,0.37,0.0,0.0,0.1
112105,2020,0.02,0.01,0.02,0.0,0.0,0.0
103100,2020,0.63,0.79,0.36,0.0,0.0,0.0
133150,2021,0.2,0.11,0.12,0.17,0.13,0.05
122100,2021,0.47,0.51,0.32,0.46,0.29,0.15
123100,2021,0.41,0.38,0.31,0.56,0.26,0.0
124105,2021,0.7,0.71,0.46,0.54,0.34,0.06
121109,2021,0.72,0.84,0.47,0.67,0.37,0.14
125100,2021,0.31,0.22,0.15,0.29,0.08,0.0
113130,2021,0.21,0.17,0.14,0.09,0.1,0.04
129100,2021,0.2,0.12,0.15,0.19,0.12,0.15
112100,2021,0.43,0.84,0.22,0.49,0.33,0.0
110110,2021,0.06,0.12,0.06,0.05,0.12,0.0
112106,2021,0.02,0.01,0.03,0.0,0.0,0.0
112102,2021,0.27,0.34,0.15,0.18,0.15,0.0
109102,2021,0.11,0.07,0.04,0.02,0.0,0.0
109103,2021,0.14,0.19,0.06,0.08,0.07,0.0
109100,2021,0.59,0.68,0.47,0.78,0.73,0.0
109101,2021,0.27,0.18,0.12,0.14,0.13,0.0
110120,2021,0.59,0.43,0.4,0.46,0.43,0.0
106102,2021,0.12,0.1,0.07,0.11,0.06,0.0
107102,2021,0.16,0.11,0.13,0.11,0.09,0.03
112104,2021,0.1,0.13,0.06,0.07,0.06,0.0
106100,2021,0.53,0.41,0.3,0.33,0.18,0.0
107101,2021,0.21,0.2,0.17,0.23,0.16,0.0
108101,2021,0.14,0.12,0.15,0.14,0.16,0.0
