MODEL;S_MODEL;hospital_id;X21_value_normalized;X22_value_normalized;hospital_discharge_normalized;diagnostic_tests_normalized;surgical_interventions_normalized;medical_consultations_normalized;grd;te_input;te_output;te_directional
M_CRS_2015;M;129106;0.12;0.08;0.12;0.08;0.09;0.04;0.7;0.602;1.66;0.248
M_CRS_2015;M;133150;0.15;0.08;0.11;0.08;0.1;0.08;0.79;0.566;1.767;0.277
M_NIRS_2015;M;101100;0.27;0.25;0.3;0.21;0.21;0.05;0.77;0.686;1.301;0.16
M_NIRS_2015;M;102100;0.37;0.29;0.34;0.19;0.25;0.05;0.75;0.584;1.391;0.202
M_NIRS_2015;M;103100;0.42;0.33;0.38;0.23;0.3;0;0.84;0.628;1.338;0.181
M_NIRS_2015;M;103101;0.14;0.08;0.13;0.09;0.04;0;0.61;0.572;1.747;0.272
M_NIRS_2015;M;104100;0.24;0.23;0.19;0.11;0.14;0;0.72;0.467;1.952;0.363
M_NIRS_2015;M;105100;0.23;0.26;0.27;0.23;0.25;0;0.84;0.771;1.266;0.128
M_NIRS_2015;M;105101;0.25;0.26;0.26;0.15;0.28;0;0.92;0.72;1.388;0.163
M_NIRS_2015;M;105102;0.13;0.1;0.16;0.14;0.16;0;0.67;0.832;1.202;0.092
M_NIRS_2015;M;106100;0.45;0.47;0.54;0.29;0.33;0;0.95;0.917;1.061;0.036
M_NIRS_2015;M;106102;0.09;0.07;0.06;0.34;0.04;0;1.03;1;1;0
M_NIRS_2015;M;106103;0.09;0.09;0.16;0.12;0.08;0;0.65;1;1;0
M_NIRS_2015;M;107100;0.47;0.62;0.46;0.45;0.34;0;1.15;0.736;1.267;0.133
M_NIRS_2015;M;107101;0.15;0.15;0.21;0.19;0.18;0;0.72;0.91;1.097;0.047
M_NIRS_2015;M;107102;0.12;0.08;0.11;0.07;0.09;0;0.68;0.563;1.775;0.279
M_NIRS_2015;M;108100;0.14;0.1;0.21;0.11;0.18;0;0.74;0.939;1.065;0.031
M_NIRS_2015;M;108101;0.11;0.09;0.16;0.1;0.17;0;0.7;1;1;0
M_NIRS_2015;M;109100;0.5;0.51;0.58;0.82;0.95;0;0.79;1;1;0
M_NIRS_2015;M;109101;0.26;0.19;0.14;0.11;0.14;0;1.05;0.369;2.553;0.461
M_NIRS_2015;M;110100;0.49;0.71;0.49;0.79;0.39;0;1;0.968;1.023;0.013
M_NIRS_2015;M;110120;0.31;0.39;0.28;0.22;0.29;0;0.77;0.614;1.559;0.239
M_NIRS_2015;M;110150;0.11;0.07;0.11;0.1;0.11;0.01;0.63;0.753;1.328;0.141
M_NIRS_2015;M;111100;0.55;0.89;0.46;0.55;0.33;0.11;0.87;0.67;1.24;0.176
M_NIRS_2015;M;111101;0.36;0.35;0.27;0.31;0.15;0.03;0.77;0.525;1.697;0.286
M_NIRS_2015;M;111195;0.4;0.32;0.12;0.16;0.14;0.07;1.22;0.242;3.24;0.611
M_NIRS_2015;M;112100;0.35;0.79;0.38;0.38;0.39;0;1.14;0.784;1.217;0.109
M_NIRS_2015;M;112101;0.18;0.21;0.34;0.01;0.16;0;0.68;1;1;0
M_NIRS_2015;M;112102;0.22;0.35;0.16;0.19;0.16;0;1.26;0.522;1.892;0.314
M_NIRS_2015;M;112103;0.1;0.24;0.05;0.1;0.01;0;1.71;0.4;2.459;0.428
M_NIRS_2015;M;112104;0.1;0.13;0.03;0.05;0.03;0;1.73;0.24;4.165;0.613
M_NIRS_2015;M;113100;0.62;0.67;0.57;0.71;0.49;0.13;0.91;1;1;0
M_NIRS_2015;M;113130;0.15;0.12;0.11;0.07;0.12;0;1.07;0.512;1.952;0.323
M_NIRS_2015;M;113180;0.23;0.18;0.29;0.23;0.17;0;0.78;0.797;1.191;0.1
M_NIRS_2015;M;114101;0.84;0.72;0.9;0.61;0.64;0.17;0.86;1;1;0
M_NIRS_2015;M;114103;0.34;0.33;0.39;0.4;0.21;0.02;0.67;0.838;1.149;0.079
M_NIRS_2015;M;115100;0.4;0.52;0.36;0.34;0.38;0.08;0.95;0.633;1.381;0.195
M_NIRS_2015;M;115107;0.1;0.09;0.14;0.07;0.13;0;0.68;0.906;1.103;0.049
M_NIRS_2015;M;116100;0.21;0.23;0.27;0.41;0.28;0.38;0.76;1;1;0
M_NIRS_2015;M;116105;0.44;0.44;0.39;0.51;0.31;0;0.94;0.703;1.357;0.163
M_NIRS_2015;M;116108;0.17;0.1;0.29;0.17;0.21;0.07;0.72;1;1;0
M_NIRS_2015;M;117101;0.4;0.35;0.42;0.31;0.39;0;0.8;0.764;1.197;0.107
M_NIRS_2015;M;117102;0.09;0.06;0.1;0.07;0.1;0;0.71;0.811;1.233;0.104
M_NIRS_2015;M;118100;0.78;0.89;0.64;0.74;0.47;0.11;1.01;1;1;0
M_NIRS_2015;M;118105;0.09;0.03;0.11;0.11;0.08;0.35;0.57;1;1;0
M_NIRS_2015;M;119100;0.4;0.46;0.42;0.38;0.32;0;0.83;0.76;1.236;0.122
