DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
133150,10,0.84,2018,0.19,0.09,0.11,0.11,0.13,0.03
106102,5,1.07,2018,0.1,0.08,0.07,0.16,0.05,0.0
112102,13,1.33,2018,0.25,0.33,0.14,0.19,0.16,0.0
117102,16,0.69,2018,0.11,0.08,0.12,0.09,0.15,0.23
110100,13,1.02,2018,0.56,0.7,0.49,0.89,0.42,0.0
111100,13,0.88,2018,0.62,0.86,0.57,0.63,0.35,0.1
103100,3,0.91,2018,0.53,0.65,0.37,0.32,0.28,0.0
119100,8,0.95,2018,0.46,0.54,0.43,0.44,0.39,0.0
114101,13,0.95,2018,0.98,0.96,0.85,0.69,0.75,0.19
123100,10,0.86,2018,0.39,0.35,0.31,0.38,0.36,0.0
114103,13,0.75,2018,0.4,0.37,0.41,0.49,0.24,0.02
111101,13,0.92,2018,0.49,0.43,0.34,0.48,0.24,0.07
108101,5,0.78,2018,0.12,0.09,0.15,0.11,0.22,0.0
111195,13,1.31,2018,0.39,0.35,0.13,0.21,0.16,0.08
112101,13,0.73,2018,0.22,0.16,0.3,0.0,0.16,0.0
118100,8,1.09,2018,0.9,1.02,0.69,0.83,0.62,0.75
113100,13,0.92,2018,0.68,0.7,0.64,0.87,0.56,0.08
113130,13,1.1,2018,0.2,0.16,0.1,0.08,0.12,0.0
103101,3,0.68,2018,0.16,0.13,0.14,0.12,0.04,0.0
107101,5,0.75,2018,0.18,0.18,0.18,0.24,0.21,0.0
101100,15,0.8,2018,0.29,0.32,0.32,0.28,0.3,0.05
105101,4,1.0,2018,0.3,0.4,0.26,0.19,0.31,0.0
129100,9,0.68,2019,0.13,0.06,0.12,0.1,0.1,0.09
121109,9,1.06,2019,0.66,0.9,0.65,0.59,0.5,0.11
118105,8,0.62,2019,0.1,0.04,0.1,0.15,0.09,0.27
101100,15,0.82,2019,0.3,0.26,0.33,0.29,0.28,0.06
120101,8,0.9,2019,0.01,0.0,0.56,0.61,0.46,0.05
119100,8,0.96,2019,0.45,0.51,0.42,0.51,0.45,0.0
129106,9,0.76,2019,0.13,0.08,0.11,0.11,0.09,0.06
117101,16,0.87,2019,0.45,0.39,0.39,0.44,0.46,0.01
118100,8,1.11,2019,0.9,0.9,0.69,0.92,0.57,0.91
105101,4,1.01,2019,0.31,0.34,0.26,0.2,0.3,0.0
116108,7,0.79,2019,0.19,0.15,0.26,0.25,0.23,0.0
112103,13,1.78,2019,0.11,0.27,0.07,0.11,0.02,0.0
124105,10,0.96,2019,0.62,0.65,0.47,0.45,0.44,0.82
112104,13,1.68,2019,0.1,0.13,0.04,0.05,0.05,0.0
